1	header
Et	CPUt	log10h	log10E	h	N
0.00008	0.00001	-1.0000	-1.0979	0.10000	10.0
0.00068	0.00066	-1.7782	-2.6280	0.01667	59.9880023995
0.00372	0.00370	-2.0414	-3.1484	0.00909	110.0110011
0.00881	0.00859	-2.2041	-3.4680	0.00625	160.0
0.02024	0.01963	-2.3222	-3.6986	0.00476	210.084033613
0.02987	0.02980	-2.4150	-3.8785	0.00385	259.74025974
0.05394	0.05220	-2.4914	-4.0258	0.00323	309.59752322
0.07652	0.07597	-2.5563	-4.1503	0.00278	359.712230216
0.10283	0.10197	-2.6128	-4.2579	0.00244	409.836065574
0.14655	0.14602	-2.6628	-4.3526	0.00217	460.829493088
0.19806	0.19462	-2.7076	-4.4370	0.00196	510.204081633
0.25668	0.25330	-2.7482	-4.5131	0.00179	558.659217877
0.34383	0.34017	-2.7853	-4.5822	0.00164	609.756097561
0.42444	0.42066	-2.8195	-4.6456	0.00152	657.894736842
0.52756	0.52372	-2.8513	-4.7041	0.00141	709.219858156
0.63492	0.63116	-2.8808	-4.7583	0.00132	757.575757576
0.78906	0.78468	-2.9085	-4.8087	0.00123	813.008130081
0.94885	0.94355	-2.9345	-4.8560	0.00116	862.068965517
1.12381	1.11888	-2.9590	-4.9003	0.00110	909.090909091
1.35250	1.34554	-2.9823	-4.9420	0.00104	961.538461538
1.56098	1.55269	-3.0043	-4.9815	0.00099	1010.1010101
1.75560	1.74995	-3.0253	-5.0188	0.00094	1063.82978723
2.09465	2.08409	-3.0453	-5.0543	0.00090	1111.11111111
2.42109	2.41090	-3.0645	-5.0881	0.00086	1162.79069767
3.10039	2.96239	-3.0828	-5.1203	0.00083	1204.81927711
2.96692	2.96169	-3.1004	-5.1510	0.00079	1265.82278481
3.31664	3.31151	-3.1173	-5.1804	0.00076	1315.78947368
3.77379	3.74274	-3.1335	-5.2086	0.00074	1351.35135135
4.24775	4.22949	-3.1492	-5.2357	0.00071	1408.45070423
4.78299	4.72614	-3.1644	-5.2617	0.00068	1470.58823529
5.11992	5.11443	-3.1790	-5.2868	0.00066	1515.15151515
5.65561	5.64977	-3.1931	-5.3109	0.00064	1562.5
6.39347	6.36833	-3.2068	-5.3342	0.00062	1612.90322581
6.71558	6.70480	-3.2201	-5.3567	0.00060	1666.66666667
7.37729	7.36874	-3.2330	-5.3784	0.00058	1724.13793103
7.98928	7.98266	-3.2455	-5.3994	0.00057	1754.38596491
8.73691	8.72353	-3.2577	-5.4198	0.00055	1818.18181818
9.57444	9.56057	-3.2695	-5.4395	0.00054	1851.85185185
10.36964	10.34924	-3.2810	-5.4586	0.00052	1923.07692308
10.99198	10.98250	-3.2923	-5.4772	0.00051	1960.78431373
